# t (s)	mx ()	my ()	mz ()	m_zrange0-20_x ()	m_zrange0-20_y ()	m_zrange0-20_z ()	m_zrange21-31_x ()	m_zrange21-31_y ()	m_zrange21-31_z ()	m_zrange32-52_x ()	m_zrange32-52_y ()	m_zrange32-52_z ()
0	-0.5769231	0	0	-1	0	0	1	0	0	-1	0	0
1e-11	-0.5760219	0.0022649686	0.002712591	-0.9986822	0.0026332724	0.0037044887	0.99941456	0.0012447473	-0.0007124808	-0.9986823	0.002633271	0.0037044883
2.0000000000000086e-11	-0.5751844	0.008296471	0.0051780576	-0.99674475	0.009856766	0.0067931474	0.99602014	0.0037145938	-0.0002466866	-0.99674475	0.009856761	0.0067931465
3.000000000000022e-11	-0.5736278	0.016581643	0.007274873	-0.9930481	0.020391282	0.008989007	0.98932743	0.0046594273	0.0018733118	-0.9930481	0.020391274	0.008989005
4.0000000000000056e-11	-0.56963974	0.025331141	0.00900432	-0.98619235	0.032619625	0.010340417	0.98264325	0.0012434551	0.0054607997	-0.9861925	0.032619618	0.010340413
5.009999999999989e-11	-0.56042063	0.033063233	0.010347951	-0.9731933	0.045108113	0.010984138	0.9785857	-0.008503608	0.009872812	-0.97319317	0.04510809	0.010984129
6.009999999999985e-11	-0.5437127	0.038498722	0.011131554	-0.95084083	0.05618037	0.010980615	0.97605723	-0.024528053	0.013961631	-0.9508408	0.056180336	0.010980606
7.000000000000033e-11	-0.51615775	0.04096772	0.011249498	-0.9142686	0.06453401	0.010472615	0.97305405	-0.045103785	0.016606951	-0.9142686	0.064533964	0.010472609
8.000000000000081e-11	-0.48020726	0.040882148	0.010853158	-0.86572015	0.07003784	0.009823566	0.9658024	-0.06756406	0.017142154	-0.86572015	0.070037775	0.009823568
9.000000000000129e-11	-0.4459615	0.040273786	0.010295808	-0.8161621	0.07408665	0.009393775	0.9456484	-0.08692278	0.015963087	-0.8161621	0.07408659	0.009393783
1.0000000000000177e-10	-0.4208799	0.04140484	0.009887621	-0.7740743	0.07855832	0.009278382	0.9077217	-0.09892797	0.014302073	-0.77407426	0.07855825	0.009278392
1.1000000000000226e-10	-0.40252495	0.044631857	0.009633324	-0.7387713	0.08383606	0.009291303	0.8619555	-0.10325843	0.012928067	-0.7387713	0.083836004	0.009291306
1.2000000000000274e-10	-0.37937534	0.0478166	0.009242278	-0.6992496	0.08800028	0.008998755	0.82424676	-0.10335467	0.012064826	-0.69924957	0.08800022	0.008998751
1.3000000000000322e-10	-0.34489962	0.048509598	0.00832287	-0.64769256	0.08894253	0.008220211	0.79729205	-0.103520095	0.010398091	-0.64769256	0.08894247	0.008220207
1.400000000000037e-10	-0.30252483	0.04705239	0.0070053805	-0.5862956	0.08666752	0.00737152	0.7720533	-0.10199758	0.006941891	-0.58629555	0.08666748	0.007371524
1.5000000000000419e-10	-0.25845253	0.04499244	0.0059113028	-0.5212495	0.08200183	0.006412536	0.7410447	-0.09404657	0.005088604	-0.5212495	0.08200179	0.0064125494
1.6000000000000467e-10	-0.21697052	0.042243123	0.005237826	-0.45648494	0.07547932	0.005137873	0.69769317	-0.08225297	0.0066851713	-0.45648488	0.075479284	0.005137889
1.7000000000000515e-10	-0.17786282	0.038200922	0.004752619	-0.39042127	0.067715004	0.0040488956	0.63679826	-0.07221515	0.008518011	-0.3904212	0.067714974	0.004048909
1.8000000000000563e-10	-0.13686498	0.03206343	0.004834147	-0.31793246	0.05865275	0.0040559196	0.56003183	-0.06788115	0.0089138765	-0.31793237	0.058652736	0.004055926
1.9000000000000612e-10	-0.090445444	0.022148915	0.0059906985	-0.23634818	0.046811245	0.005694085	0.4750762	-0.07207063	0.00837529	-0.23634808	0.04681124	0.005694084
2.000000000000066e-10	-0.03744766	0.006677081	0.008025181	-0.14753151	0.029994134	0.008724894	0.39539796	-0.085255705	0.006831373	-0.14753139	0.029994134	0.008724889
2.1000000000000708e-10	0.019015543	-0.013377269	0.009610562	-0.059155427	0.008026843	0.0113068195	0.33550236	-0.10166918	0.00474765	-0.059155334	0.008026852	0.011306816
2.2000000000000756e-10	0.07026376	-0.03346793	0.009059863	0.015731435	-0.015820088	0.010567938	0.30244565	-0.110752895	0.004839522	0.015731532	-0.015820082	0.010567944
2.3000000000000805e-10	0.10863508	-0.05019506	0.0064301686	0.067191765	-0.037280083	0.0060628885	0.29613525	-0.111894	0.0091852965	0.06719185	-0.03728008	0.0060629025
2.4000000000000667e-10	0.1329496	-0.06263193	0.0031475073	0.0954134	-0.052523315	0.00032355526	0.30968428	-0.115592755	0.0150727825	0.09541346	-0.052523326	0.0003235735
